,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nuuk,64.1835,-51.7216,3.34,32,20,0.0,GL,1634582241
1,Mapiripán,2.8892,-72.1256,30.34,64,51,2.31,CO,1634582242
2,Acapulco de Juárez,16.8634,-99.8901,29.9,74,90,2.06,MX,1634582201
3,Flinders,-34.5833,150.8552,16.88,78,100,0.89,AU,1634582242
4,Cayenne,4.9333,-52.3333,30.02,79,40,2.68,GF,1634582242
5,Kruisfontein,-34.0033,24.7314,11.6,66,0,1.94,ZA,1634582243
6,Mataura,-46.1927,168.8643,6.47,99,100,2.07,NZ,1634582243
7,Puerto Ayora,-0.7393,-90.3518,25.98,80,79,4.42,EC,1634582243
8,Sitka,57.0531,-135.33,8.94,46,75,7.72,US,1634582244
9,Faanui,-16.4833,-151.75,26.56,79,98,6.89,PF,1634582244
10,Ushuaia,-54.8,-68.3,12.79,57,40,13.89,AR,1634582244
11,Port Elizabeth,-33.918,25.5701,13.16,82,20,0.0,ZA,1634582068
12,Atuona,-9.8,-139.0333,25.51,76,62,9.48,PF,1634582245
13,Vostok,46.4856,135.8833,-6.87,99,99,0.57,RU,1634582245
14,Sosnovo-Ozerskoye,52.5249,111.5418,-4.68,76,12,2.91,RU,1634582245
15,Mount Isa,-20.7333,139.5,22.87,43,53,0.51,AU,1634582246
16,Hobart,-42.8794,147.3294,8.92,86,90,1.79,AU,1634582246
17,Adrar,20.5022,-10.0711,31.65,11,100,3.64,MR,1634582247
18,Asmara,15.3333,38.9333,16.49,27,0,3.09,ER,1634582247
19,Chui,-33.6971,-53.4616,17.04,73,44,3.62,UY,1634582247
20,Anadyr,64.75,177.4833,0.28,93,90,16.99,RU,1634582248
21,Yulara,-25.2406,130.9889,23.91,23,94,2.06,AU,1634582248
22,Ahipara,-35.1667,173.1667,14.25,89,71,1.0,NZ,1634582248
23,Rikitea,-23.1203,-134.9692,23.96,71,6,8.22,PF,1634582249
24,Bredasdorp,-34.5322,20.0403,12.38,72,0,1.73,ZA,1634582067
25,Borba,-4.3878,-59.5939,30.8,52,63,1.55,BR,1634582249
26,Lebu,-37.6167,-73.65,13.8,70,0,8.4,CL,1634582250
27,Ulaangom,49.9811,92.0667,0.41,71,15,0.78,MN,1634582250
28,Livadiya,42.8692,132.6764,4.52,88,100,5.18,RU,1634582250
29,Parrita,9.5201,-84.3225,30.29,72,70,3.18,CR,1634581964
30,Port Alfred,-33.5906,26.891,14.13,65,0,1.73,ZA,1634582251
31,Chokurdakh,70.6333,147.9167,-25.66,100,97,2.16,RU,1634582251
32,Bajil,15.0584,43.2851,31.6,52,0,1.78,YE,1634582251
33,Saint Paul Harbor,57.79,-152.4072,7.73,76,90,9.26,US,1634582252
34,Charters Towers,-20.1,146.2667,20.35,83,0,2.22,AU,1634582252
35,Provideniya,64.3833,-173.3,-2.19,78,100,12.12,RU,1634582252
36,George Town,5.4112,100.3354,28.27,85,20,0.0,MY,1634581599
37,Mahébourg,-20.4081,57.7,23.47,78,75,5.66,MU,1634582253
38,Shellbrook,53.2168,-106.4011,9.57,56,35,8.31,CA,1634582253
39,Port Hardy,50.6996,-127.4199,7.1,87,75,4.12,CA,1634582254
40,Khatanga,71.9667,102.5,-1.17,98,100,4.19,RU,1634582254
41,Zyryanka,65.75,150.85,-15.19,91,87,4.29,RU,1634582255
42,Lompoc,34.6391,-120.4579,21.12,45,1,3.6,US,1634582255
43,Cape Town,-33.9258,18.4232,15.62,64,0,2.24,ZA,1634582213
44,Busselton,-33.65,115.3333,15.02,83,100,7.15,AU,1634582256
45,Muros,42.7762,-9.0603,21.03,86,35,2.89,ES,1634582256
46,Meulaboh,4.1363,96.1285,25.75,84,100,1.42,ID,1634582256
47,Saldanha,-33.0117,17.9442,15.03,74,3,9.11,ZA,1634582257
48,Coquimbo,-29.9533,-71.3436,15.85,72,40,7.2,CL,1634582257
49,Salta,-24.7859,-65.4117,19.16,52,75,3.6,AR,1634582001
50,Punta Arenas,-53.15,-70.9167,13.06,41,20,13.38,CL,1634582040
51,Carupano,10.6678,-63.2585,30.28,67,16,4.94,VE,1634582258
52,Vardø,70.3705,31.1107,1.99,69,75,10.8,NO,1634582258
53,Udachny,66.4167,112.4,-0.71,89,100,4.21,RU,1634582259
54,Barrow,71.2906,-156.7887,-8.99,67,90,4.12,US,1634582259
55,Lagoa,39.05,-27.9833,20.29,75,3,10.39,PT,1634582259
56,Trairi,-3.2778,-39.2689,29.04,64,11,6.34,BR,1634582156
57,Te Anau,-45.4167,167.7167,9.54,87,100,2.09,NZ,1634582260
58,Vaini,-21.2,-175.2,23.09,88,40,4.12,TO,1634582260
